window_group,n_total,n_valid_target,low_rate,p_ge_2,p_ge_5,p_ge_10,p_ge_20,p_ge_50,p_ge_100
ALL,8834067,8832076,0.5319011068292437,0.4680988931707562,0.19054942461998742,0.09638232279704115,0.04646189638766696,0.017668326223642096,0.006935628724209348
10,5432,5431,0.5308414656600994,0.46915853433990057,0.18928374148407293,0.09556251150800957,0.0471368072178236,0.018228687166267722,0.008101638740563431
11,5431,5430,0.5307550644567219,0.46924493554327806,0.18931860036832412,0.09558011049723757,0.04714548802946593,0.018232044198895028,0.008103130755064457
12,5430,5429,0.5306686314238349,0.46933136857616503,0.18935347209430833,0.09559771596979186,0.04715417203904955,0.01823540246822619,0.008104623319211642
13,5429,5428,0.5305821665438467,0.4694178334561533,0.18938835666912307,0.09561532792925571,0.04716285924834193,0.018238761974944732,0.008106116433308769
14,5428,5427,0.5304956697991524,0.4695043302008476,0.189423254099871,0.09563294637921503,0.04717154965911185,0.01824212271973466,0.008107610097659848
15,5427,5426,0.5304091411721342,0.46959085882786583,0.18945816439366014,0.09565057132325838,0.04718024327312938,0.018245484703280503,0.008109104312569112
16,5426,5425,0.5303225806451612,0.4696774193548387,0.1894930875576037,0.09566820276497696,0.0471889400921659,0.01824884792626728,0.008110599078341014
17,5425,5424,0.5302359882005899,0.46976401179941,0.18952802359882007,0.0956858407079646,0.0471976401179941,0.01825221238938053,0.008112094395280236
18,5424,5423,0.5301493638207634,0.46985063617923656,0.18956297252443297,0.09570348515581781,0.04720634335238798,0.018255578093306288,0.008113590263691683
19,5423,5422,0.5302471412762818,0.4697528587237182,0.18941350055330136,0.09553670232386573,0.04703061600885282,0.018258945038731097,0.008115086683880487
20,5422,5421,0.5301604869950194,0.4698395130049806,0.18944844124700239,0.0955543257701531,0.04703929164360819,0.018262313226342003,0.008116583656152001
21,5421,5420,0.5300738007380074,0.46992619926199264,0.18948339483394833,0.09557195571955719,0.0470479704797048,0.018265682656826567,0.008118081180811807
22,5420,5419,0.5299870824875438,0.47001291751245616,0.189518361321277,0.09558959217567817,0.04705665251891493,0.018269053330872854,0.008119579258165713
23,5419,5418,0.5299003322259136,0.4700996677740864,0.18955334071613142,0.09560723514211886,0.04706533776301218,0.018272425249169437,0.008121077888519748
24,5418,5417,0.5299981539597564,0.4700018460402437,0.18940372900129224,0.09544028059811704,0.04688942218940373,0.01827579841240539,0.008122577072180174
25,5417,5416,0.530096011816839,0.469903988183161,0.18925406203840472,0.09527326440177253,0.04689807976366322,0.01827917282127031,0.00812407680945347
26,5416,5415,0.5301939058171745,0.4698060941828255,0.18928901200369344,0.09529085872576178,0.0469067405355494,0.018282548476454295,0.008125577100646353
27,5415,5414,0.5301071296638346,0.4698928703361655,0.1893239748799409,0.09530845954931659,0.04691540450683413,0.01828592537864795,0.008127077946065755
28,5414,5413,0.5300203214483651,0.46997967855163497,0.1893589506743026,0.09532606687603916,0.046924071679290594,0.018289303528542397,0.008128579346018844
29,5413,5412,0.5301182557280119,0.4698817442719882,0.18920916481892092,0.09515890613451589,0.046747967479674794,0.018292682926829267,0.008130081300813009
30,5412,5411,0.5300314174829052,0.4699685825170948,0.18924413232304566,0.095176492330438,0.04675660691184624,0.018296063574200702,0.008131583810755868
31,5411,5410,0.5299445471349353,0.47005545286506467,0.18927911275415896,0.09519408502772643,0.046765249537892795,0.018299445471349353,0.008133086876155268
32,5410,5409,0.5300425217230542,0.46995747827694584,0.1893141061194306,0.09521168422998706,0.04677389535958588,0.018302828618968387,0.008134590497319282
33,5409,5408,0.5299556213017751,0.47004437869822485,0.1893491124260355,0.0952292899408284,0.04678254437869823,0.01830621301775148,0.008136094674556213
34,5408,5407,0.5300536341779175,0.4699463658220825,0.18938413168115406,0.09524690216386165,0.046791196597003884,0.018309598668392824,0.008137599408174588
35,5407,5406,0.5301516833148354,0.46984831668516464,0.1894191638919719,0.0952645209027007,0.04679985201627821,0.018312985571587125,0.008139104698483167
36,5406,5405,0.530249768732655,0.46975023126734505,0.18945420906567992,0.09528214616096208,0.04680851063829787,0.018316373728029602,0.008140610545790935
37,5405,5404,0.5303478904515174,0.46965210954848263,0.18948926720947445,0.09529977794226499,0.04681717246484086,0.01831976313841599,0.008142116950407105
38,5404,5403,0.5304460484915787,0.4695539515084213,0.1895243383305571,0.09531741625023135,0.04682583749768647,0.018323153803442533,0.008143623912641125
39,5403,5402,0.5303591262495372,0.4696408737504628,0.18955942243613477,0.09533506108848575,0.04683450573861533,0.018326545723805997,0.008145131432802665
40,5402,5401,0.5302721718200333,0.46972782817996667,0.18959451953341974,0.09535271246065544,0.04684317718940937,0.018329938900203666,0.008146639511201629
41,5401,5400,0.5301851851851852,0.4698148148148148,0.18962962962962962,0.09537037037037037,0.04685185185185185,0.018333333333333333,0.008148148148148147
42,5400,5399,0.5300981663270976,0.4699018336729024,0.1896647527319874,0.09538803482126319,0.046860529727727356,0.018336729023893314,0.008149657343952585
43,5399,5398,0.530196369025565,0.46980363097443495,0.18951463505001853,0.09540570581696925,0.04686921081882178,0.018340125972582437,0.008151167098925528
44,5398,5397,0.5302946081156198,0.4697053918843802,0.1895497498610339,0.09542338336112655,0.046877895126922364,0.018343524180100056,0.008152677413377803
45,5397,5396,0.5303928836174945,0.4696071163825056,0.1895848776871757,0.09544106745737584,0.04688658265381764,0.018346923647146036,0.00815418828762046
46,5396,5395,0.5303058387395737,0.46969416126042635,0.1896200185356812,0.09545875810936053,0.046895273401297496,0.01835032437442076,0.008155699721964782
47,5395,5394,0.5302187615869485,0.4697812384130515,0.1896551724137931,0.09547645532072674,0.046903967371153134,0.01835372636262514,0.008157211716722283
48,5394,5393,0.5303170776933062,0.46968292230669384,0.18950491377711848,0.0953087335434823,0.046727239013536065,0.018171704060819582,0.00815872427220471
49,5393,5392,0.5304154302670623,0.46958456973293766,0.18954005934718102,0.09532640949554896,0.04673590504451038,0.01817507418397626,0.008160237388724036
50,5392,5391,0.530328324986088,0.46967167501391205,0.18957521795585236,0.09534409200519384,0.04674457429048414,0.018178445557410498,0.00816175106659247
51,5391,5390,0.5302411873840446,0.4697588126159555,0.18961038961038962,0.09536178107606678,0.046753246753246755,0.01818181818181818,0.00816326530612245
52,5390,5389,0.5303395806272035,0.46966041937279646,0.1896455743180553,0.09537947671182037,0.04676192243458898,0.018185192057895712,0.008164780107626647
53,5389,5388,0.5302524127691166,0.46974758723088345,0.1896807720861173,0.09539717891610987,0.0467706013363029,0.018188567186340016,0.008166295471417966
54,5388,5387,0.5301652125487284,0.4698347874512716,0.1897159829218489,0.09541488769259328,0.04677928346018192,0.018191943567848524,0.008167811397809541
55,5387,5386,0.5302636464909023,0.46973635350909765,0.18975120683252877,0.0954326030449313,0.046787968808020795,0.0181953212031192,0.008169327887114742
56,5386,5385,0.5303621169916435,0.46963788300835657,0.18978644382544105,0.09545032497678738,0.0467966573816156,0.01819870009285051,0.008170844939647167
57,5385,5384,0.5302748885586924,0.4697251114413076,0.18982169390787518,0.09546805349182763,0.046805349182763745,0.018202080237741457,0.008172362555720654
58,5384,5383,0.5303733977336058,0.4696266022663942,0.18985695708712613,0.09548578859372098,0.04681404421326398,0.018205461638491547,0.008173880735649267
59,5383,5382,0.5304719435154218,0.46952805648457824,0.18989223337049424,0.09550353028613898,0.046822742474916385,0.018208844295800816,0.008175399479747306
60,5382,5381,0.5305705259245493,0.46942947407545066,0.18992752276528527,0.095521278572756,0.04683144396952239,0.01821222821036982,0.008176918788329306
61,5381,5380,0.5304832713754647,0.4695167286245353,0.18996282527881042,0.09553903345724907,0.04684014869888476,0.018215613382899627,0.008178438661710037
62,5380,5379,0.5303959843837145,0.46960401561628556,0.18999814091838632,0.09555679494329801,0.046848856664807585,0.01821899981409184,0.0081799591002045
63,5379,5378,0.5303086649312012,0.4696913350687988,0.19003346969133506,0.09557456303458535,0.04685756786909632,0.01822238750464857,0.008181480104127928
64,5378,5377,0.530221312999814,0.469778687000186,0.1900688116049842,0.09559233773479635,0.046866282313557744,0.018225776455272458,0.008183001673795797
65,5377,5376,0.5301339285714286,0.46986607142857145,0.19010416666666666,0.09561011904761904,0.046875,0.018229166666666668,0.00818452380952381
66,5376,5375,0.530046511627907,0.469953488372093,0.19013953488372093,0.09562790697674418,0.04688372093023256,0.018232558139534883,0.008186046511627907
67,5375,5374,0.5299590621510979,0.4700409378489021,0.1901749162634909,0.09564570152586528,0.046892445106066244,0.018235950874581318,0.008187569780424266
68,5374,5373,0.5298715801228364,0.4701284198771636,0.1902103108133259,0.09566350269867858,0.04690117252931323,0.0182393448725107,0.008189093616229295
69,5373,5372,0.5297840655249442,0.47021593447505583,0.19024571854058078,0.0956813104988831,0.04690990320178704,0.018242740134028296,0.008190618019359643
70,5372,5371,0.5296965183392291,0.4703034816607708,0.1902811394526159,0.0956991249301806,0.04691863712530255,0.01824613665983988,0.008192142990132191
71,5371,5370,0.5297951582867784,0.4702048417132216,0.19031657355679701,0.0957169459962756,0.04692737430167598,0.01824953445065177,0.00819366852886406
72,5370,5369,0.5297075805550382,0.4702924194449618,0.19035202086049544,0.0957347737008754,0.0469361147327249,0.018252933507170794,0.008195194635872602
73,5369,5368,0.5296199701937406,0.4703800298062593,0.19038748137108794,0.09575260804769002,0.04694485842026826,0.01825633383010432,0.00819672131147541
74,5368,5367,0.5297186510154649,0.4702813489845351,0.19042295509595678,0.09577044904043228,0.046953605366126326,0.01825973542016024,0.008198248555990311
75,5367,5366,0.5296310100633619,0.4703689899366381,0.19045844204248974,0.09578829668281774,0.04696235557212076,0.018263138278046962,0.008199776369735371
76,5366,5365,0.5295433364398882,0.47045666356011184,0.19049394221808014,0.09580615097856478,0.04697110904007456,0.018266542404473438,0.00820130475302889
77,5365,5364,0.5294556301267711,0.47054436987322895,0.19052945563012677,0.09582401193139448,0.04697986577181208,0.018269947800149143,0.00820283370618941
78,5364,5363,0.5295543539063957,0.47044564609360434,0.19037851948536266,0.09584187954503076,0.046988625769159055,0.018273354465784077,0.008204363229535707
79,5363,5362,0.5294666169339799,0.47053338306602016,0.19041402461767998,0.09585975382320029,0.04699738903394256,0.018276762402088774,0.008205893323386795
80,5362,5361,0.5293788472299944,0.4706211527700056,0.19044954299570976,0.09587763476963253,0.047006155567991044,0.018280171609774295,0.00820742398806193
81,5361,5360,0.5292910447761194,0.4707089552238806,0.19048507462686567,0.0958955223880597,0.04701492537313433,0.01828358208955224,0.008208955223880597
82,5360,5359,0.5292032095540212,0.4707967904459787,0.19052061951856689,0.09591341668221683,0.047023698451203584,0.018286993842134728,0.00821048703116253
83,5359,5358,0.5291153415453528,0.4708846584546473,0.19055617767823815,0.09593131765584173,0.04703247480403135,0.018290406868234417,0.008212019410227697
84,5358,5357,0.5290274407317529,0.47097255926824716,0.1905917491133097,0.09594922531267501,0.04704125443345156,0.018293821168564494,0.008213552361396304
85,5357,5356,0.529126213592233,0.470873786407767,0.19062733383121733,0.09596713965646005,0.04705003734129948,0.018297236743838687,0.008215085884988798
86,5356,5355,0.5290382819794585,0.47096171802054154,0.19066293183940242,0.09598506069094305,0.047058823529411764,0.018300653594771243,0.008216619981325864
87,5355,5354,0.5291370937616735,0.4708629062383265,0.19069854314531193,0.096002988419873,0.047067612999626446,0.018304071722076952,0.008218154650728428
88,5354,5353,0.5290491313282272,0.4709508686717728,0.1907341677563983,0.09602092284700169,0.04707640575378293,0.018307491126471138,0.008219689893517654
89,5353,5352,0.5291479820627802,0.47085201793721976,0.1907698056801196,0.0960388639760837,0.04708520179372197,0.018310911808669655,0.008221225710014948
90,5352,5351,0.5290599887871426,0.4709400112128574,0.19080545692393944,0.09605681181087647,0.04709400112128574,0.0183143337693889,0.008222762100541955
91,5351,5350,0.5289719626168224,0.47102803738317756,0.19084112149532712,0.09607476635514019,0.04710280373831776,0.018317757009345795,0.00822429906542056
92,5350,5349,0.5288839035333707,0.4711160964666293,0.19087679940175734,0.09609272761263787,0.04711160964666293,0.018321181529257807,0.008225836604972891
93,5349,5348,0.5289827973074046,0.47101720269259534,0.19091249065071056,0.09611069558713538,0.04712041884816754,0.01832460732984293,0.008227374719521317
94,5348,5347,0.5288947073125116,0.4711052926874883,0.19094819524967271,0.09612867028240135,0.04712923134467926,0.01832803441181971,0.008228913409388442
95,5347,5346,0.5289936401047513,0.4710063598952488,0.19079685746352412,0.09614665170220726,0.04713804713804714,0.01833146277590722,0.00823045267489712
96,5346,5345,0.5290926099158092,0.47090739008419086,0.19064546304957905,0.0961646398503274,0.04714686623012161,0.01833489242282507,0.00823199251637044
97,5345,5344,0.5290044910179641,0.4709955089820359,0.1906811377245509,0.09618263473053892,0.04715568862275449,0.018338323353293412,0.008233532934131737
98,5344,5343,0.5289163391353172,0.4710836608646828,0.1907168257533221,0.09620063634662175,0.047164514317798986,0.01834175556803294,0.008235073928504585
99,5343,5342,0.5290153500561587,0.47098464994384126,0.190752527143392,0.09621864470235866,0.0471733433171097,0.018345189067764882,0.008236615499812805
100,5342,5341,0.528927167197154,0.4710728328028459,0.19078824190226548,0.0962366598015353,0.047182175622542594,0.01834862385321101,0.008238157648380453
101,5341,5340,0.5288389513108614,0.47116104868913855,0.1908239700374532,0.09625468164794007,0.04719101123595506,0.018352059925093634,0.008239700374531835
102,5340,5339,0.5287507023787226,0.4712492976212774,0.19085971155647125,0.0962727102453643,0.047199850159205844,0.018355497284135606,0.008241243678591496
103,5339,5338,0.5286624203821656,0.4713375796178344,0.19089546646684152,0.0962907455976021,0.047208692394155115,0.018358935931060322,0.008242787560884226
104,5338,5337,0.5287614764849167,0.4712385235150834,0.1907438635937793,0.09630878770845044,0.047217537942664416,0.01836237586659172,0.008244332021735057
105,5337,5336,0.5286731634182908,0.47132683658170915,0.19077961019490255,0.09632683658170915,0.0472263868065967,0.018365817091454274,0.008245877061469266
106,5336,5335,0.528584817244611,0.47141518275538896,0.1908153701968135,0.09634489222118088,0.04723523898781631,0.01836925960637301,0.008247422680412371
107,5335,5334,0.5284964379452568,0.47150356205474314,0.1908511436070491,0.09636295463067117,0.047244094488188976,0.01837270341207349,0.008248968878890138
108,5334,5333,0.5284080255015938,0.4715919744984062,0.19088693043315208,0.09638102381398837,0.04725295330958185,0.01837614850928183,0.008250515657228577
109,5333,5332,0.5283195798949737,0.47168042010502625,0.19092273068267065,0.09639909977494374,0.047261815453863466,0.01837959489872468,0.008252063015753939
110,5332,5331,0.5282311011067342,0.4717688988932658,0.19095854436315887,0.09641718251735135,0.04727068092290377,0.018383042581129244,0.008253610954792722
111,5331,5330,0.5281425891181989,0.4718574108818011,0.19099437148217635,0.09643527204502814,0.04727954971857411,0.018386491557223265,0.00825515947467167
