window_size,rows
10,5432
11,5431
12,5430
13,5429
14,5428
15,5427
16,5426
17,5425
18,5424
19,5423
20,5422
21,5421
22,5420
23,5419
24,5418
25,5417
26,5416
27,5415
28,5414
29,5413
30,5412
31,5411
32,5410
33,5409
34,5408
35,5407
36,5406
37,5405
38,5404
39,5403
40,5402
41,5401
42,5400
43,5399
44,5398
45,5397
46,5396
47,5395
48,5394
49,5393
50,5392
51,5391
52,5390
53,5389
54,5388
55,5387
56,5386
57,5385
58,5384
59,5383
60,5382
61,5381
62,5380
63,5379
64,5378
65,5377
66,5376
67,5375
68,5374
69,5373
70,5372
71,5371
72,5370
73,5369
74,5368
75,5367
76,5366
77,5365
78,5364
79,5363
80,5362
81,5361
82,5360
83,5359
84,5358
85,5357
86,5356
87,5355
88,5354
89,5353
90,5352
91,5351
92,5350
93,5349
94,5348
95,5347
96,5346
97,5345
98,5344
99,5343
100,5342
101,5341
102,5340
103,5339
104,5338
105,5337
106,5336
107,5335
108,5334
109,5333
110,5332
111,5331
112,5330
113,5329
114,5328
115,5327
116,5326
117,5325
118,5324
119,5323
120,5322
121,5321
122,5320
123,5319
124,5318
125,5317
126,5316
127,5315
128,5314
129,5313
130,5312
131,5311
132,5310
133,5309
134,5308
135,5307
136,5306
137,5305
138,5304
139,5303
140,5302
141,5301
142,5300
143,5299
144,5298
145,5297
146,5296
147,5295
148,5294
149,5293
150,5292
151,5291
152,5290
153,5289
154,5288
155,5287
156,5286
157,5285
158,5284
159,5283
160,5282
161,5281
162,5280
163,5279
164,5278
165,5277
166,5276
167,5275
168,5274
169,5273
170,5272
171,5271
172,5270
173,5269
174,5268
175,5267
176,5266
177,5265
178,5264
179,5263
180,5262
181,5261
182,5260
183,5259
184,5258
185,5257
186,5256
187,5255
188,5254
189,5253
190,5252
191,5251
192,5250
193,5249
194,5248
195,5247
196,5246
197,5245
198,5244
199,5243
200,5242
201,5241
202,5240
203,5239
204,5238
205,5237
206,5236
207,5235
208,5234
209,5233
210,5232
211,5231
212,5230
213,5229
214,5228
215,5227
216,5226
217,5225
218,5224
219,5223
220,5222
221,5221
222,5220
223,5219
224,5218
225,5217
226,5216
227,5215
228,5214
229,5213
230,5212
231,5211
232,5210
233,5209
234,5208
235,5207
236,5206
237,5205
238,5204
239,5203
240,5202
241,5201
242,5200
243,5199
244,5198
245,5197
246,5196
247,5195
248,5194
249,5193
250,5192
251,5191
252,5190
253,5189
254,5188
255,5187
256,5186
257,5185
258,5184
259,5183
260,5182
261,5181
262,5180
263,5179
264,5178
265,5177
266,5176
267,5175
268,5174
269,5173
270,5172
271,5171
272,5170
273,5169
274,5168
275,5167
276,5166
277,5165
278,5164
279,5163
280,5162
281,5161
282,5160
283,5159
284,5158
285,5157
286,5156
287,5155
288,5154
289,5153
290,5152
291,5151
292,5150
293,5149
294,5148
295,5147
296,5146
297,5145
298,5144
299,5143
300,5142
301,5141
302,5140
303,5139
304,5138
305,5137
306,5136
307,5135
308,5134
309,5133
310,5132
311,5131
312,5130
313,5129
314,5128
315,5127
316,5126
317,5125
318,5124
319,5123
320,5122
321,5121
322,5120
323,5119
324,5118
325,5117
326,5116
327,5115
328,5114
329,5113
330,5112
331,5111
332,5110
333,5109
334,5108
335,5107
336,5106
337,5105
338,5104
339,5103
340,5102
341,5101
342,5100
343,5099
344,5098
345,5097
346,5096
347,5095
348,5094
349,5093
350,5092
351,5091
352,5090
353,5089
354,5088
355,5087
356,5086
357,5085
358,5084
359,5083
360,5082
361,5081
362,5080
363,5079
364,5078
365,5077
366,5076
367,5075
368,5074
369,5073
370,5072
371,5071
372,5070
373,5069
374,5068
375,5067
376,5066
377,5065
378,5064
379,5063
380,5062
381,5061
382,5060
383,5059
384,5058
385,5057
386,5056
387,5055
388,5054
389,5053
390,5052
391,5051
392,5050
393,5049
394,5048
395,5047
396,5046
397,5045
398,5044
399,5043
400,5042
401,5041
402,5040
403,5039
404,5038
405,5037
406,5036
407,5035
408,5034
409,5033
410,5032
411,5031
412,5030
413,5029
414,5028
415,5027
416,5026
417,5025
418,5024
419,5023
420,5022
421,5021
422,5020
423,5019
424,5018
425,5017
426,5016
427,5015
428,5014
429,5013
430,5012
431,5011
432,5010
433,5009
434,5008
435,5007
436,5006
437,5005
438,5004
439,5003
440,5002
441,5001
442,5000
443,4999
444,4998
445,4997
446,4996
447,4995
448,4994
449,4993
450,4992
451,4991
452,4990
453,4989
454,4988
455,4987
456,4986
457,4985
458,4984
459,4983
460,4982
461,4981
462,4980
463,4979
464,4978
465,4977
466,4976
467,4975
468,4974
469,4973
470,4972
471,4971
472,4970
473,4969
474,4968
475,4967
476,4966
477,4965
478,4964
479,4963
480,4962
481,4961
482,4960
483,4959
484,4958
485,4957
486,4956
487,4955
488,4954
489,4953
490,4952
491,4951
492,4950
493,4949
494,4948
495,4947
496,4946
497,4945
498,4944
499,4943
500,4942
